Predicted_Disruption_Start,Predicted_Disruption_Duration_hrs,Disruption_Type,Pending_Target_Tons,Days_To_Deadline,Available_Overtime_Capacity_hrs,Recommended_Action,Suggested_Overtime_hrs
08:00,6,Extreme Heat,138,7,1,Shift to Indoor/Maintenance tasks,0
07:00,5,Heavy Rain,212,8,1,Shift to Indoor/Maintenance tasks,0
12:00,7,Extreme Heat,188,2,1,Pre-emptive Overtime Previous Day,1
17:00,8,Heavy Rain,443,9,1,Front-load Morning Shift,0
03:00,0,None,166,10,0,Normal Operations,0
07:00,7,Extreme Heat,459,10,2,Shift to Indoor/Maintenance tasks,0
00:00,0,None,335,9,0,Normal Operations,0
14:00,1,Extreme Heat,469,6,0,Shift to Indoor/Maintenance tasks,0
06:00,3,Extreme Heat,169,10,1,Shift to Indoor/Maintenance tasks,0
13:00,4,Extreme Heat,439,5,2,Front-load Morning Shift,0
14:00,4,Extreme Heat,188,8,4,Front-load Morning Shift,0
18:00,6,Extreme Heat,299,4,1,Front-load Morning Shift,0
14:00,8,Extreme Heat,369,2,1,Pre-emptive Overtime Previous Day,1
06:00,6,Extreme Heat,232,8,3,Shift to Indoor/Maintenance tasks,0
10:00,1,Extreme Heat,370,4,2,Shift to Indoor/Maintenance tasks,0
08:00,3,Heavy Rain,363,9,2,Shift to Indoor/Maintenance tasks,0
23:00,0,None,462,9,0,Normal Operations,0
13:00,0,None,161,7,2,Normal Operations,0
14:00,0,None,363,3,4,Normal Operations,0
16:00,2,Heavy Rain,136,4,4,Front-load Morning Shift,0
21:00,0,None,258,8,0,Normal Operations,0
15:00,1,Extreme Heat,225,5,1,Front-load Morning Shift,0
10:00,2,Heavy Rain,434,2,1,Shift to Indoor/Maintenance tasks,0
14:00,0,None,117,7,4,Normal Operations,0
16:00,2,Heavy Rain,283,6,2,Front-load Morning Shift,0
11:00,6,Heavy Rain,267,8,4,Shift to Indoor/Maintenance tasks,0
03:00,0,None,447,2,2,Normal Operations,0
12:00,3,Heavy Rain,390,7,3,Shift to Indoor/Maintenance tasks,0
09:00,6,Heavy Rain,293,4,1,Shift to Indoor/Maintenance tasks,0
22:00,0,None,265,9,0,Normal Operations,0
06:00,8,Heavy Rain,192,7,0,Shift to Indoor/Maintenance tasks,0
09:00,6,Heavy Rain,224,1,3,Pre-emptive Overtime Previous Day,3
21:00,0,None,287,4,0,Normal Operations,0
14:00,4,Heavy Rain,300,3,4,Front-load Morning Shift,0
01:00,0,None,308,1,2,Normal Operations,0
11:00,0,None,451,5,0,Normal Operations,0
16:00,4,Extreme Heat,403,5,3,Front-load Morning Shift,0
10:00,5,Extreme Heat,275,9,1,Shift to Indoor/Maintenance tasks,0
14:00,7,Extreme Heat,111,9,3,Front-load Morning Shift,0
10:00,8,Heavy Rain,378,2,2,Pre-emptive Overtime Previous Day,2
10:00,2,Heavy Rain,388,5,3,Shift to Indoor/Maintenance tasks,0
11:00,1,Extreme Heat,120,10,4,Shift to Indoor/Maintenance tasks,0
18:00,5,Extreme Heat,120,4,2,Front-load Morning Shift,0
02:00,0,None,447,7,2,Normal Operations,0
23:00,0,None,228,1,4,Normal Operations,0
06:00,2,Extreme Heat,146,1,3,Shift to Indoor/Maintenance tasks,0
08:00,1,Extreme Heat,493,8,4,Shift to Indoor/Maintenance tasks,0
14:00,6,Extreme Heat,389,4,2,Front-load Morning Shift,0
14:00,2,Extreme Heat,359,5,3,Front-load Morning Shift,0
10:00,1,Extreme Heat,335,10,3,Shift to Indoor/Maintenance tasks,0
10:00,3,Heavy Rain,261,5,0,Shift to Indoor/Maintenance tasks,0
11:00,0,None,435,1,1,Normal Operations,0
14:00,5,Heavy Rain,459,2,1,Pre-emptive Overtime Previous Day,1
03:00,0,None,409,8,4,Normal Operations,0
14:00,3,Heavy Rain,281,1,4,Front-load Morning Shift,0
14:00,7,Extreme Heat,333,7,2,Front-load Morning Shift,0
16:00,4,Heavy Rain,184,5,1,Front-load Morning Shift,0
16:00,0,None,319,9,2,Normal Operations,0
09:00,4,Extreme Heat,250,5,3,Shift to Indoor/Maintenance tasks,0
10:00,0,None,356,1,4,Normal Operations,0
16:00,3,Extreme Heat,175,9,1,Front-load Morning Shift,0
12:00,0,None,218,3,3,Normal Operations,0
14:00,0,None,354,9,4,Normal Operations,0
04:00,0,None,209,3,0,Normal Operations,0
06:00,7,Extreme Heat,329,6,2,Shift to Indoor/Maintenance tasks,0
10:00,8,Extreme Heat,455,6,2,Shift to Indoor/Maintenance tasks,0
12:00,3,Extreme Heat,286,6,1,Shift to Indoor/Maintenance tasks,0
13:00,7,Heavy Rain,302,2,2,Pre-emptive Overtime Previous Day,2
18:00,4,Heavy Rain,457,4,0,Shift to Indoor/Maintenance tasks,0
21:00,0,None,209,5,1,Normal Operations,0
17:00,2,Extreme Heat,291,8,4,Front-load Morning Shift,0
15:00,3,Heavy Rain,203,4,0,Shift to Indoor/Maintenance tasks,0
10:00,0,None,166,4,2,Normal Operations,0
01:00,0,None,182,4,0,Normal Operations,0
02:00,0,None,273,3,3,Normal Operations,0
16:00,7,Extreme Heat,145,7,4,Front-load Morning Shift,0
12:00,2,Extreme Heat,130,8,1,Shift to Indoor/Maintenance tasks,0
17:00,4,Extreme Heat,411,4,0,Shift to Indoor/Maintenance tasks,0
16:00,4,Heavy Rain,355,7,4,Front-load Morning Shift,0
12:00,3,Extreme Heat,360,8,0,Shift to Indoor/Maintenance tasks,0
10:00,7,Extreme Heat,340,10,1,Shift to Indoor/Maintenance tasks,0
01:00,0,None,202,7,2,Normal Operations,0
03:00,0,None,446,3,4,Normal Operations,0
09:00,8,Extreme Heat,500,9,3,Shift to Indoor/Maintenance tasks,0
17:00,0,None,175,6,0,Normal Operations,0
13:00,2,Heavy Rain,365,8,2,Front-load Morning Shift,0
13:00,3,Extreme Heat,346,7,3,Front-load Morning Shift,0
12:00,0,None,499,4,3,Normal Operations,0
10:00,6,Heavy Rain,352,2,4,Pre-emptive Overtime Previous Day,4
15:00,0,None,457,5,1,Normal Operations,0
14:00,0,None,228,6,1,Normal Operations,0
18:00,7,Extreme Heat,366,10,3,Front-load Morning Shift,0
22:00,0,None,145,10,3,Normal Operations,0
14:00,7,Extreme Heat,106,4,1,Front-load Morning Shift,0
15:00,1,Heavy Rain,250,3,3,Front-load Morning Shift,0
15:00,7,Heavy Rain,409,5,1,Front-load Morning Shift,0
12:00,1,Extreme Heat,480,5,4,Shift to Indoor/Maintenance tasks,0
11:00,2,Heavy Rain,440,8,2,Shift to Indoor/Maintenance tasks,0
14:00,5,Heavy Rain,169,4,2,Front-load Morning Shift,0
08:00,0,None,341,5,4,Normal Operations,0
07:00,4,Extreme Heat,123,7,0,Shift to Indoor/Maintenance tasks,0
14:00,1,Extreme Heat,309,5,0,Shift to Indoor/Maintenance tasks,0
14:00,3,Heavy Rain,131,6,3,Front-load Morning Shift,0
15:00,0,None,249,8,3,Normal Operations,0
18:00,4,Heavy Rain,356,2,1,Pre-emptive Overtime Previous Day,1
18:00,6,Heavy Rain,295,5,2,Front-load Morning Shift,0
11:00,4,Extreme Heat,462,8,2,Shift to Indoor/Maintenance tasks,0
06:00,8,Heavy Rain,399,3,3,Shift to Indoor/Maintenance tasks,0
06:00,6,Heavy Rain,216,1,4,Pre-emptive Overtime Previous Day,4
08:00,5,Extreme Heat,205,5,1,Shift to Indoor/Maintenance tasks,0
06:00,6,Extreme Heat,157,2,4,Pre-emptive Overtime Previous Day,4
21:00,0,None,358,7,2,Normal Operations,0
11:00,3,Heavy Rain,500,5,2,Shift to Indoor/Maintenance tasks,0
12:00,4,Heavy Rain,381,9,3,Shift to Indoor/Maintenance tasks,0
07:00,5,Extreme Heat,456,4,1,Shift to Indoor/Maintenance tasks,0
08:00,3,Extreme Heat,301,5,1,Shift to Indoor/Maintenance tasks,0
23:00,0,None,308,8,0,Normal Operations,0
20:00,0,None,321,1,3,Normal Operations,0
08:00,5,Extreme Heat,104,5,3,Shift to Indoor/Maintenance tasks,0
03:00,0,None,480,6,0,Normal Operations,0
11:00,0,None,196,5,2,Normal Operations,0
09:00,1,Extreme Heat,287,4,0,Shift to Indoor/Maintenance tasks,0
11:00,4,Extreme Heat,295,5,0,Shift to Indoor/Maintenance tasks,0
14:00,4,Heavy Rain,480,2,4,Pre-emptive Overtime Previous Day,4
10:00,0,None,210,6,1,Normal Operations,0
06:00,0,None,259,5,1,Normal Operations,0
08:00,3,Heavy Rain,131,1,2,Shift to Indoor/Maintenance tasks,0
17:00,0,None,483,7,1,Normal Operations,0
16:00,7,Heavy Rain,179,7,3,Front-load Morning Shift,0
06:00,7,Extreme Heat,298,10,2,Shift to Indoor/Maintenance tasks,0
07:00,8,Heavy Rain,380,1,1,Pre-emptive Overtime Previous Day,1
06:00,2,Heavy Rain,369,2,3,Shift to Indoor/Maintenance tasks,0
11:00,4,Heavy Rain,182,7,3,Shift to Indoor/Maintenance tasks,0
11:00,6,Extreme Heat,431,4,2,Shift to Indoor/Maintenance tasks,0
16:00,3,Extreme Heat,133,3,2,Front-load Morning Shift,0
06:00,0,None,365,9,1,Normal Operations,0
10:00,6,Heavy Rain,150,1,0,Shift to Indoor/Maintenance tasks,0
10:00,3,Heavy Rain,232,2,3,Shift to Indoor/Maintenance tasks,0
08:00,3,Heavy Rain,490,9,4,Shift to Indoor/Maintenance tasks,0
11:00,3,Extreme Heat,259,8,0,Shift to Indoor/Maintenance tasks,0
06:00,1,Heavy Rain,250,10,2,Shift to Indoor/Maintenance tasks,0
07:00,1,Extreme Heat,366,6,2,Shift to Indoor/Maintenance tasks,0
12:00,0,None,146,8,4,Normal Operations,0
02:00,0,None,256,9,2,Normal Operations,0
12:00,1,Heavy Rain,206,4,3,Shift to Indoor/Maintenance tasks,0
09:00,3,Heavy Rain,487,10,3,Shift to Indoor/Maintenance tasks,0
16:00,6,Extreme Heat,236,10,4,Front-load Morning Shift,0
18:00,3,Extreme Heat,158,1,2,Front-load Morning Shift,0
07:00,4,Extreme Heat,164,2,4,Pre-emptive Overtime Previous Day,4
11:00,0,None,260,9,1,Normal Operations,0
09:00,4,Heavy Rain,454,4,1,Shift to Indoor/Maintenance tasks,0
